id,state,lat,lon
USC00043452,CA,34.1472,-117.8472
USC00043463,CA,35.7269,-118.7006
USC00043489,CA,32.8833,-114.8667
USC00043491,CA,39.165,-120.8567
USC00043498,CA,35.2814,-116.7844
USC00043551,CA,36.7394,-118.9631
USC00043573,CA,39.2042,-121.0681
USC00043578,CA,38.4306,-122.8647
USC00043614,CA,41.5519,-122.9236
USC00043647,CA,40.4864,-123.9089
USC00043669,CA,37.8444,-120.2258
USC00043672,CA,37.8231,-120.0983
USC00043710,CA,36.1389,-117.9528
USC00043714,CA,37.4725,-122.4433
USC00043747,CA,36.3158,-119.6369
USC00043800,CA,39.2372,-121.2667
USC00043824,CA,40.9317,-121.5433
USC00043855,CA,33.7044,-115.6289
USC00043875,CA,38.6175,-122.8731
USC00043878,CA,38.6333,-122.8667
USC00043882,CA,35.6842,-121.1683
USC00043896,CA,33.7381,-116.8939
USC00043914,CA,33.2372,-116.7614
USC00043939,CA,37.9614,-119.7831
USC00044025,CA,36.8483,-121.4214
USC00044176,CA,37.2275,-119.2206
USC00044211,CA,33.7572,-116.7067
USC00044223,CA,32.8489,-115.5667
USC00044232,CA,36.7981,-118.2036
USC00044259,CA,33.7086,-116.2153
USC00044278,CA,35.6514,-117.8214
USC00044288,CA,39.1181,-120.8406
USC00044297,CA,34.1472,-115.1219
USC00044303,CA,33.72,-117.7231
USC00044374,CA,41.2683,-120.2947
USC00044405,CA,34.1469,-116.2747
USC00044412,CA,33.0764,-116.5925
USC00044422,CA,34.4908,-119.5069
USC00044484,CA,38.8089,-120.8208
USC00044500,CA,37.9569,-122.5439
USC00044523,CA,35.7831,-118.4389
USC00044534,CA,36.0042,-119.96
USC00044536,CA,36.0725,-120.0878
USC00044555,CA,36.2069,-121.1378
USC00044577,CA,41.5786,-124.0747
USC00044628,CA,34.2222,-118.2378
USC00044647,CA,33.5453,-117.7814
USC00044671,CA,34.2467,-117.1883
USC00044705,CA,37.2131,-118.6136
USC00044710,CA,32.8536,-116.8947
USC00044712,CA,38.4919,-122.0039
USC00044713,CA,39.3183,-120.6392
USC00044735,CA,32.7675,-117.0233
USC00044838,CA,41.7019,-121.5011
USC00044863,CA,34.8328,-118.865
USC00044867,CA,34.0764,-118.8803
USC00044881,CA,37.9567,-119.1194
USC00044890,CA,36.3817,-119.0264
USC00044957,CA,36.2033,-119.0545
USC00044997,CA,37.6922,-121.7692
USC00045026,CA,36.6044,-118.7325
USC00045032,CA,38.1061,-121.2878
USC00045064,CA,34.6539,-120.4514
USC00045107,CA,34.7456,-120.28
USC00045118,CA,37.0564,-120.8667
USC00045119,CA,36.875,-120.9386
USC00045120,CA,36.9897,-120.9297
USC00045123,CA,37.2319,-121.9592
USC00045147,CA,34.5444,-119.7914
USC00045218,CA,34.2383,-117.4708
USC00045233,CA,36.9539,-120.0378
USC00045311,CA,40.5411,-121.5767
